date,followers,followers_growth,username,channel,link_profile
2019-04-13,36460,-2,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-04-14,36493,33,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-04-15,36502,9,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-04-16,36510,8,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-04-17,36514,4,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-04-18,36525,11,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-04-19,36533,8,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-04-20,36568,35,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-04-21,36607,39,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-04-22,36629,22,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-04-23,36636,7,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-04-24,36658,22,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-04-25,36698,40,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-04-26,36713,15,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-04-27,36734,21,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-04-28,36765,31,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-04-29,36805,40,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-04-30,36845,40,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-05-01,36885,40,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-05-02,36895,10,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-05-03,37040,145,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-05-04,37123,83,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-05-05,37136,13,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
